date, pm25, pm10, o3, no2, so2, co
2025/1/1, 115, 50, 18, , 10, 
2025/1/2, 160, 50, 19, , 10, 
2025/1/3, 140, 32, 19, , 10, 
2025/1/4, 103, 28, 19, , 9, 
2025/1/5, 94, 37, 7, , 13, 
2025/1/6, 135, 48, 10, , 10, 
2025/1/7, 152, , , , , 
2024/10/1, 37, 28, 28, 29, 8, 4
2024/10/2, 39, 16, 22, , 8, 
2024/10/3, 84, 22, 35, , 9, 
2024/10/4, 69, 17, 33, , 9, 
2024/10/5, 61, 14, 27, , 8, 
2024/10/6, 57, 12, 19, , 8, 
2024/10/7, 50, 10, 25, , 9, 
2024/10/8, 57, , , , , 
2024/10/10, 72, 9, 26, , 9, 
2024/10/11, 69, 10, 21, , 8, 
2024/10/12, 69, 15, 16, , 9, 
2024/10/13, 73, 11, 26, , 9, 
2024/10/14, 64, 11, 38, , 9, 
2024/10/15, 64, 13, 35, , 9, 
2024/10/16, 66, , , , , 
2024/10/18, 69, 8, 28, 11, 8, 3
2024/10/19, 73, 9, 30, 12, 8, 4
2024/10/20, 75, 9, 30, 12, 8, 4
2024/10/21, 79, 10, 28, 14, 9, 4
2024/10/22, 74, 13, 29, 21, 9, 5
2024/10/23, 77, 16, 30, 18, 9, 5
2024/10/24, 89, 15, 28, , 9, 
2024/10/25, 89, 14, 24, , 8, 
2024/10/26, 84, , , , , 
2024/10/28, 125, 27, 31, , 10, 
2024/10/29, 110, 17, 30, , 9, 
2024/10/30, 91, 16, 29, , 9, 
2024/10/31, 84, 14, 31, , 9, 
2024/11/1, 83, 18, 19, , 9, 
2024/11/2, 100, 21, 38, , 9, 
2024/11/3, 120, 15, 35, , 9, 
2024/11/4, 82, 13, 33, , 10, 
2024/11/5, 77, , , , , 
2024/11/8, 91, 16, 29, , 10, 
2024/11/9, 88, 16, 29, , 10, 
2024/11/10, 82, 21, 24, , 9, 
2024/11/11, 91, 29, 23, , 11, 
2024/11/12, 129, 43, 8, , 9, 
2024/11/13, 152, 41, 13, , 9, 
2024/11/14, 153, 29, 26, , 9, 
2024/11/15, 118, 17, 7, , 8, 
2024/11/16, 109, 14, 9, , 9, 
2024/11/17, 89, 18, 3, , 9, 
2024/11/18, 97, 30, 3, , 10, 
2024/11/19, 130, 35, 20, , 9, 
2024/11/20, 125, 14, 29, , 9, 
2024/11/21, 82, 13, 8, , 9, 
2024/11/22, 99, , , , , 
2024/11/26, 85, 31, 7, , 12, 
2024/11/27, 111, 40, 3, , 12, 
2024/11/28, 143, 40, 17, , 10, 
2024/11/29, 161, 40, 23, , 9, 
2024/11/30, 140, 22, 25, , 9, 
2024/12/1, 134, 9, 17, , , 
2024/12/2, 120, 23, 7, , 9, 
2024/12/3, 122, 28, 10, , 11, 
2024/12/4, 122, 43, 5, , 12, 
2024/12/5, 130, 45, 16, , 11, 
2024/12/6, 147, 29, 30, , 10, 
2024/12/7, 139, 35, 24, , 10, 
2024/12/8, 89, , 26, , 10, 
2024/12/9, 85, 15, 24, , 9, 
2024/12/10, 90, 15, 28, , 9, 
2024/12/11, 88, 27, 17, , 10, 
2024/12/12, 137, 28, 22, , 9, 
2024/12/13, 123, 25, 17, , 10, 
2024/12/14, 82, 41, 19, , 10, 
2024/12/15, 148, 27, 21, , 9, 
2024/12/16, 115, 32, 12, 28, 11, 10
2024/12/17, 112, 51, 9, 35, 12, 16
2024/12/18, 155, 56, 5, 46, 12, 17
2024/12/19, 170, 54, 15, 17, 11, 12
2024/12/20, 168, 29, 29, 8, 9, 8
2024/12/21, 101, 19, 21, 13, 9, 10
2024/12/22, 85, 21, 23, 18, 10, 14
2024/12/23, 101, 16, 24, , 10, 
2024/12/24, 91, 15, 20, , 10, 
2024/12/25, 90, 27, 13, , 11, 
2024/12/26, 118, 33, 19, , 11, 
2024/12/27, 91, 16, 17, , 10, 
2024/12/28, 76, 22, 15, , 10, 
2024/12/29, 79, , , , , 
2024/9/5, 130, 48, 37, 60, 8, 9
2024/9/6, 81, 51, 39, 56, 8, 9
2024/9/7, 77, 50, 39, 55, 9, 9
2024/9/8, 63, 43, 25, 40, 10, 8
2024/9/9, 54, 19, 33, 35, 8, 9
2024/9/10, 56, 9, 32, 40, 7, 10
2024/9/11, 53, , 24, 30, 6, 10
2024/9/12, 55, , 29, 31, 8, 11
2024/9/13, 45, , 30, 33, 8, 10
2024/9/14, 49, , 26, 17, 7, 10
2024/9/15, 43, 18, 30, 28, 8, 10
2024/9/16, 33, 14, 29, 40, 9, 12
2024/9/17, 48, 12, 35, 15, 9, 14
2024/9/18, 56, 21, 36, 25, 9, 15
2024/9/19, 61, 25, 32, 36, 9, 13
2024/9/20, 55, 26, 32, 38, 8, 13
2024/9/22, 36, 16, 35, 32, 9, 2
2024/9/23, 47, 21, 34, 34, 8, 3
2024/9/24, 66, 33, 37, 14, 9, 5
2024/9/25, 75, 35, 43, 47, 9, 6
2024/9/26, 76, 25, 41, 50, 10, 7
2024/9/27, 73, 20, 42, 49, 10, 6
2024/9/28, 76, 27, 46, 61, 8, 9
2024/9/29, 79, 31, 36, 43, 8, 6
2024/9/30, 57, 28, 23, 23, 7, 4
2024/4/1, 78, 48, 17, 37, , 12
2024/4/2, 77, , , , , 
2024/4/4, 76, 31, 38, 34, 5, 10
2024/4/5, 57, 33, 35, 30, , 9
2024/4/6, 41, 31, 30, 29, 5, 8
2024/4/7, 45, 30, 32, 26, 5, 8
2024/4/8, 35, 28, 36, 24, 5, 8
2024/4/9, 37, 22, 24, 22, , 8
2024/4/10, 50, 19, 27, 26, 5, 8
2024/4/11, 34, 27, 27, 22, 4, 8
2024/4/12, 51, , , , , 
2024/4/14, 41, 25, 36, 12, 5, 2
2024/4/15, 47, , , , , 
2024/4/18, 50, 21, 24, 24, 5, 9
2024/4/19, 57, , , , , 
2024/4/21, 30, , , , , 
2024/4/23, 61, , , , , 
2024/4/25, 74, , , , , 
2024/4/27, 45, 35, 11, 19, 5, 9
2024/4/28, 53, 34, 8, 25, 5, 9
2024/4/29, 53, 26, 7, 28, 5, 9
2024/4/30, 47, 27, 28, 25, , 10
2024/5/1, 48, 23, 10, 26, 6, 10
2024/5/2, 39, 19, 10, 28, , 11
2024/5/3, 37, 16, 27, 28, 5, 9
2024/5/4, 44, 15, 32, 38, 6, 8
2024/5/5, 35, 18, 30, 32, 5, 8
2024/5/6, 31, 26, 36, 26, 6, 12
2024/5/7, 50, 25, 23, 56, 5, 13
2024/5/8, 52, 23, 21, 20, 5, 1
2024/5/9, 53, 24, 24, 12, 6, 2
2024/5/10, 48, , , , , 
2024/5/12, 27, 22, 31, 30, 5, 9
2024/5/13, 32, , , , , 
2024/5/15, 44, 22, 16, 46, 6, 11
2024/5/16, 49, 33, 10, 59, , 13
2024/5/17, 64, 33, 26, 49, 5, 12
2024/5/18, 66, , , , , 
2024/5/20, 71, 45, 37, 30, 6, 13
2024/5/21, 65, 38, 26, 40, 5, 13
2024/5/22, 62, , , , , 
2024/5/24, 55, 20, 24, 25, 5, 12
2024/5/25, 53, , , , , 
2024/5/27, 56, , , , , 
2024/5/29, 46, , , , , 
2024/5/31, 47, , , , , 
2024/6/2, 61, 41, , 29, 5, 12
2024/6/3, 62, 34, , 39, 5, 14
2024/6/4, 68, 41, , 53, 6, 17
2024/6/5, 77, , , , , 
2024/6/7, 66, 22, 41, 41, 7, 13
