date, pm25, pm10, o3, no2, so2, co,Station
2023-12-05, 86, 16, 11, 5, 2, 8,aliaga
2023-12-06, 109, 26, 8, 4, 3, 9,aliaga
2023-12-08, 79, 19, 16, 9, 2, 8,aliaga
2023-12-09, 56, 7, 9, 4, 1, 8,aliaga
2023-12-11, 145, 21, 13, 16, 4, 9,aliaga
2023-12-12, 158, 38, 10, 11, 3, 10,aliaga
2023-04-04, 23, 24, 20, 27, 9, 17,aliaga
2023-04-05, 19, 22, 20, 28, 9, 18,aliaga
2023-04-06, 15, 18, 19, 24, 6, 18,aliaga
2023-04-07, 20, 14, 23, 28, 6, 18,aliaga
2023-04-08, 21, 28, 25, 32, 11, 19,aliaga
2023-04-09, 30, 26, 24, 28, 7, 19,aliaga
2023-04-10, 35, 25, 19, 25, 6, 18,aliaga
2023-04-22, 22, 17, 24, 22, 1, 7,aliaga
2023-04-23, 23, 20, 23, 23, 5, 7,aliaga
2023-04-24, 23, 23, 22, 27, 4, 7,aliaga
2023-04-25, 20, 23, 23, 28, 1, 7,aliaga
2023-04-26, 20, 31, 22, 24, , 7,aliaga
2023-04-27, 16, 23, 20, 19, , 7,aliaga
2023-04-28, 15, 21, 22, 17, , 7,aliaga
2023-05-05, 20, 22, 18, 21, , 8,aliaga
2023-05-06, 22, 16, 25, 17, , 7,aliaga
2023-05-07, 18, 17, 24, 21, 6, 7,aliaga
2023-05-08, 21, 36, 24, 29, 5, 7,aliaga
2023-05-09, 24, 36, 22, 24, , 8,aliaga
2023-05-10, 28, 23, 19, 22, , 7,aliaga
2023-05-11, 27, 18, 19, 22, , 7,aliaga
2023-06-07, 33, 50, 25, 46, 12, 7,aliaga
2023-06-08, 33, 44, 24, 44, 7, 7,aliaga
2023-06-09, 30, 42, 27, 46, 11, 7,aliaga
2023-06-10, 28, 35, 26, 50, 11, 7,aliaga
2023-06-11, 23, 52, 26, 52, 15, 7,aliaga
2023-06-12, 24, 73, 27, 51, 1, 7,aliaga
2023-06-13, 23, 49, 22, 46, 9, 7,aliaga
2023-06-14, 22, 42, 20, 43, 7, 7,aliaga
2023-06-15, 19, 46, 28, 53, 13, 8,aliaga
2023-06-16, 26, 58, 26, 57, 9, 8,aliaga
2023-06-17, 25, 51, 23, 44, 3, 9,aliaga
2023-06-18, 25, 33, 21, 32, 1, 9,aliaga
2023-06-19, 24, 21, 23, 62, 10, 12,aliaga
2023-06-20, 22, 26, 24, 46, 4, 10,aliaga
2023-06-21, 6, 33, 27, 49, 1, 9,aliaga
2023-06-22, 1, 54, 30, 48, 1, 8,aliaga
2023-02-20, 28, 24, 23, 27, 6, 15,aliaga
2023-02-21, 32, 33, 22, , , 15,aliaga
2023-02-22, 35, 30, 23, 41, 8, 16,aliaga
2023-02-23, 34, 34, 23, 39, 7, 16,aliaga
2023-02-24, 41, 42, 20, 52, 8, 17,aliaga
2023-02-25, 34, 49, 22, 31, 6, 16,aliaga
2023-02-26, 23, 29, 23, 23, 8, 15,aliaga
2025-01-01, , 16, 17, 37, 6, 3,aliaga
2024-10-01, , 9, 21, 14, 4, 4,aliaga
2024-10-02, , 9, 30, 22, 7, 4,aliaga
2024-10-03, , 24, 27, 39, 3, 3,aliaga
2024-10-04, , 18, 19, 49, 3, 3,aliaga
2024-10-05, , 13, 18, 12, 2, 8,aliaga
2024-10-06, , 17, 25, 14, 3, 2,aliaga
2024-10-07, , 14, 22, 16, 4, 4,aliaga
2024-10-08, , 20, , , , ,aliaga
2024-10-10, , 12, 22, 14, 2, 6,aliaga
2024-10-11, , 15, 16, 14, 2, 6,aliaga
2024-10-12, , 17, 23, 9, 2, 8,aliaga
2024-10-13, , 21, 27, 9, 2, 8,aliaga
2024-10-14, , 19, 31, 10, 4, 7,aliaga
2024-10-15, , 17, 35, 11, 2, 7,aliaga
2024-10-16, , 22, , , , ,aliaga
2024-10-22, , 18, 30, 10, 4, 7,aliaga
2024-10-23, , 27, 33, 8, 3, 9,aliaga
2024-10-24, , 41, 32, 7, 2, 9,aliaga
2024-10-25, , 21, 24, 7, 5, 9,aliaga
2024-10-26, , 16, , , , ,aliaga
2024-10-28, , 34, 32, 8, 4, 9,aliaga
2024-10-29, , 30, 43, 6, 5, 11,aliaga
2024-10-30, , 21, 42, 5, 4, 12,aliaga
2024-10-31, , 20, 36, 9, 9, 12,aliaga
2024-11-01, , 17, 20, 15, 6, 14,aliaga
2024-11-02, , 23, 41, 9, 4, 13,aliaga
2024-11-03, , 30, 42, 4, 4, 11,aliaga
2024-11-04, , 22, 40, 7, 8, 12,aliaga
2024-11-05, , 21, , , , ,aliaga
2024-11-08, , 22, 40, 8, 7, 13,aliaga
2024-11-09, , 19, 32, 5, 6, 13,aliaga
2024-11-10, , 16, 25, 18, 6, 14,aliaga
2024-11-11, , 21, 35, 17, 9, 16,aliaga
2024-11-12, , 28, 14, 18, 11, 18,aliaga
2024-11-13, , 48, 11, 26, 6, 19,aliaga
2024-11-14, , 53, 16, 41, 4, 16,aliaga
2024-11-15, , 60, 20, 9, 4, 11,aliaga
2024-11-16, , 38, 17, 7, 4, 4,aliaga
2024-11-17, , 13, 10, 10, 4, 5,aliaga
2024-11-18, , 16, 14, 70, 5, 4,aliaga
2024-11-19, , 42, 36, 9, 6, ,aliaga
2024-11-20, , 27, 29, 15, 6, 8,aliaga
2024-11-21, , 25, 12, 20, 5, 12,aliaga
2024-11-22, , 30, , , , ,aliaga
2024-11-26, , 19, 21, 13, 8, 12,aliaga
2024-11-27, , 25, 6, 24, 6, 12,aliaga
2024-11-28, , 28, 22, 21, 9, ,aliaga
2024-11-29, , 35, 26, 13, 7, ,aliaga
2024-11-30, , 28, 27, 12, 5, 1,aliaga
2024-12-01, , 21, 17, 9, 4, 1,aliaga
2024-12-02, , 17, 16, 16, 6, ,aliaga
2024-12-03, , 42, 24, 20, 7, ,aliaga
2024-12-04, , 22, 23, 10, 6, 5,aliaga
2024-12-05, , 25, 31, 16, 6, 14,aliaga
2024-12-06, , 22, 37, 19, 6, 1,aliaga
2024-12-07, , 24, 36, 5, 4, ,aliaga
2024-12-08, , 12, 34, 8, 4, ,aliaga
2024-12-09, , 18, 35, 11, 4, 6,aliaga
2024-12-10, , 25, 32, 30, 4, 2,aliaga
2024-12-11, , 31, 26, 26, 5, 3,aliaga
2024-12-12, , 43, 25, 17, 9, 3,aliaga
2024-12-13, , 38, 23, 26, 8, 4,aliaga
2024-12-14, , 46, 33, 19, 5, 4,aliaga
2024-12-15, , 122, 29, 13, 5, 3,aliaga
2024-12-16, , 231, 16, 38, 9, 4,aliaga
2024-12-17, , 16, 17, 52, 8, 8,aliaga
2024-12-18, , 29, 15, 78, 7, 11,aliaga
2024-12-19, , 46, 27, 28, 6, 1,aliaga
2024-12-20, , 54, 38, 10, 5, 1,aliaga
2024-12-21, , 22, 24, 13, 12, ,aliaga
2024-12-22, , 13, 36, 17, 5, 1,aliaga
